Date,total_rates_cumpnl,total_fx_cumpnl,total_index_cumpnl,total_adv_cumpnl,total_a1_cumpnl,total_a2_cumpnl,total_a3_cumpnl,adv_rates_cumpnl,a1_rates_cumpnl,a2_rates_cumpnl,a3_rates_cumpnl,adv_fx_cumpnl,a1_fx_cumpnl,a2_fx_cumpnl,a3_fx_cumpnl,TU1 Comdty_CumPnL,TY1 Comdty_CumPnL,DU1 Comdty_CumPnL,RX1 Comdty_CumPnL,G 1 Comdty_CumPnL,XM1 Comdty_CumPnL,YM1 Comdty_CumPnL,JB1 Comdty_CumPnL,KAA1 Comdty_CumPnL,KE1 Comdty_CumPnL,IK1 Comdty_CumPnL,OAT1 Comdty_CumPnL,AD1 Curncy_CumPnL,BP1 Curncy_CumPnL,EC1 Curncy_CumPnL,JY1 Curncy_CumPnL,KRW Curncy_CumPnL,NQ1 Index_CumPnL,TU1 Comdty_Pos,TU1 Comdty_Price,TY1 Comdty_Pos,TY1 Comdty_Price,DU1 Comdty_Pos,DU1 Comdty_Price,RX1 Comdty_Pos,RX1 Comdty_Price,G 1 Comdty_Pos,G 1 Comdty_Price,XM1 Comdty_Pos,XM1 Comdty_Price,YM1 Comdty_Pos,YM1 Comdty_Price,JB1 Comdty_Pos,JB1 Comdty_Price,KAA1 Comdty_Pos,KAA1 Comdty_Price,KE1 Comdty_Pos,KE1 Comdty_Price,IK1 Comdty_Pos,IK1 Comdty_Price,OAT1 Comdty_Pos,OAT1 Comdty_Price,AD1 Curncy_Pos,AD1 Curncy_Price,BP1 Curncy_Pos,BP1 Curncy_Price,EC1 Curncy_Pos,EC1 Curncy_Price,JY1 Curncy_Pos,JY1 Curncy_Price,KRW Curncy_Pos,KRW Curncy_Price,NQ1 Index_Pos,NQ1 Index_Price,dd_scale,pnl_ma_off_count
2022-01-03,0.0,0.45,0.0,0.0,0.1241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,108.9766,0.0,129.4375,0.0,112.02,0.0,170.74,0.0,124.9,0.0,98.28,0.0,98.815,0.0,151.59,0.0,123.4,0.0,108.85,0.0,146.83,0.0,162.85,0.0,71.92,0.0,134.81,0.0,1.1313,0.0,86.755,1.8316,1191.85,0.0,16485.5,1.0,0
2022-01-04,0.0,0.45,0.0,0.0,0.1241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,109.0195,0.0,129.2812,0.0,112.05,0.0,170.81,0.0,123.94,0.0,98.22,0.0,98.77,0.0,151.43,0.0,123.3,0.0,108.76,0.0,146.61,0.0,162.95,0.0,72.435,0.0,135.31,0.0,1.1303,0.0,86.155,0.0,1194.05,0.0,16275.75,1.0,0
2022-01-05,0.0,0.9,0.0,0.0,0.2455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,108.8867,0.0,128.8438,0.0,112.065,0.0,170.75,0.0,123.92,0.0,98.185,0.0,98.77,0.0,151.42,0.0,122.9,0.0,108.65,0.0,146.29,0.0,162.9,0.0,72.24,0.0,135.57,0.0,1.1326,0.0,86.13,1.8537,1196.95,0.0,15766.5,1.0,0
2022-01-06,0.0,1.47,0.0,0.0,0.3959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,108.7734,0.0,128.5312,0.0,112.015,0.0,170.34,0.0,123.27,0.0,98.105,0.0,98.715,0.0,151.12,0.0,121.62,0.0,108.18,0.0,145.77,0.0,162.43,0.0,71.665,0.0,135.21,0.0,1.1302,0.0,86.285,1.893,1200.55,0.0,15759.0,1.0,0
2022-01-07,0.0,1.63,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,108.8047,0.0,128.2969,0.0,111.99,0.0,170.0,0.0,123.02,0.0,98.115,0.0,98.735,0.0,150.97,0.0,121.77,0.0,108.2,0.0,145.39,0.0,162.1,0.0,71.855,0.0,135.93,0.0,1.1378,0.0,86.58,1.9163,1201.55,0.0,15581.0,1.0,0
2022-01-10,0.0,1.63,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,108.7344,0.0,128.1406,0.0,111.985,0.0,169.96,0.0,122.91,0.0,98.05,0.0,98.715,0.0,150.97,0.0,121.65,0.0,108.26,0.0,145.8,0.0,162.16,0.0,71.705,0.0,135.66,0.0,1.1338,0.0,86.84,0.0,1199.0,0.0,15608.0,1.0,0
2022-01-11,0.0,1.63,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,108.75,0.0,128.3906,0.0,111.95,0.0,169.79,0.0,123.08,0.0,98.075,0.0,98.735,0.0,150.76,0.0,121.62,0.0,108.35,0.0,145.46,0.0,161.95,0.0,72.095,0.0,136.25,0.0,1.1382,0.0,86.735,0.0,1194.85,0.0,15831.0,1.0,0
2022-01-12,0.58,2.35,0.0,0.1924,0.6175,0.0,0.0,0.1924,0.0,0.0,0.0,0.0,0.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,0.0,0.0,108.7422,0.0,128.5781,0.0,111.985,0.0,170.22,0.0,123.35,0.0,98.12,0.0,98.76,3.0,151.05,0.0,122.35,0.0,108.5,0.0,146.14,0.0,162.34,0.0,72.93,0.0,137.08,0.0,1.1464,0.0,87.46,-1.9983,1190.55,0.0,15887.25,1.0,0
2022-01-13,0.6,2.81,0.0,0.199,0.7309,0.0,0.0,0.199,0.0,0.0,0.0,0.0,0.7309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,0.0,0.0,108.7617,0.0,128.7188,0.0,111.995,0.0,170.71,0.0,123.65,0.0,98.11,0.0,98.745,3.0,151.06,0.0,122.56,0.0,108.6,0.0,146.57,0.0,162.79,0.0,72.915,0.0,137.16,0.0,1.1474,0.0,87.705,-1.9947,1187.85,0.0,15490.25,1.0,0
2022-01-14,0.6,3.49,0.0,0.199,0.9566,0.0,0.0,0.199,0.0,0.0,0.0,0.0,0.9566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,2.9,0.0,0.0,108.625,0.0,128.1875,0.0,111.965,0.0,170.08,0.0,123.36,0.0,98.12,0.0,98.715,0.0,150.8,0.0,121.86,0.0,108.35,0.0,146.08,0.0,162.23,0.0,72.09,0.0,136.73,-1.4583,1.1428,0.0,87.645,-1.9941,1187.3,0.0,15595.75,1.0,0
