Date,total_rates_cumpnl,total_fx_cumpnl,total_index_cumpnl,total_adv_cumpnl,total_a1_cumpnl,total_a2_cumpnl,total_a3_cumpnl,adv_rates_cumpnl,a1_rates_cumpnl,a2_rates_cumpnl,a3_rates_cumpnl,adv_fx_cumpnl,a1_fx_cumpnl,a2_fx_cumpnl,a3_fx_cumpnl,TU1 Comdty_CumPnL,TY1 Comdty_CumPnL,DU1 Comdty_CumPnL,RX1 Comdty_CumPnL,G 1 Comdty_CumPnL,XM1 Comdty_CumPnL,YM1 Comdty_CumPnL,JB1 Comdty_CumPnL,KAA1 Comdty_CumPnL,KE1 Comdty_CumPnL,IK1 Comdty_CumPnL,OAT1 Comdty_CumPnL,AD1 Curncy_CumPnL,BP1 Curncy_CumPnL,EC1 Curncy_CumPnL,JY1 Curncy_CumPnL,KRW Curncy_CumPnL,TU1 Comdty_Pos,TU1 Comdty_Price,TY1 Comdty_Pos,TY1 Comdty_Price,DU1 Comdty_Pos,DU1 Comdty_Price,RX1 Comdty_Pos,RX1 Comdty_Price,G 1 Comdty_Pos,G 1 Comdty_Price,XM1 Comdty_Pos,XM1 Comdty_Price,YM1 Comdty_Pos,YM1 Comdty_Price,JB1 Comdty_Pos,JB1 Comdty_Price,KAA1 Comdty_Pos,KAA1 Comdty_Price,KE1 Comdty_Pos,KE1 Comdty_Price,IK1 Comdty_Pos,IK1 Comdty_Price,OAT1 Comdty_Pos,OAT1 Comdty_Price,AD1 Curncy_Pos,AD1 Curncy_Price,BP1 Curncy_Pos,BP1 Curncy_Price,EC1 Curncy_Pos,EC1 Curncy_Price,JY1 Curncy_Pos,JY1 Curncy_Price,KRW Curncy_Pos,KRW Curncy_Price,dd_scale,pnl_ma_off_count
2016-01-01,-0.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.8516,0.0,125.9062,0.0,111.51,0.0,157.92,0.0,116.77,0.0,97.115,0.0,97.96,0.0,149.04,0.0,126.15,0.0,109.59,1.3788,137.92,0.0,150.05,0.0,72.66,0.0,147.34,0.0,1.0886,0.0,83.325,0.0,1172.45,1.0,0
2016-01-04,0.33,0.0,0,0.087,0.0,0.0,0.0,0.1305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.6641,0.0,126.1562,0.0,111.535,0.0,158.79,0.0,117.44,0.0,97.18,0.0,98.0,0.0,149.11,0.0,126.62,0.0,109.74,1.3772,138.28,0.0,150.61,0.0,71.58,0.0,147.13,0.0,1.0846,0.0,83.935,0.0,1187.65,1.0,0
2016-01-05,0.72,0.0,0,0.1955,0.0,0.0,0.0,0.2932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.6641,0.0,126.25,0.0,111.575,0.0,159.05,0.0,117.47,0.0,97.19,0.0,98.0,3.0,149.11,0.0,126.46,0.0,109.69,1.3722,138.73,0.0,150.89,0.0,71.27,0.0,146.65,0.0,1.0763,0.0,84.16,0.0,1188.1,1.0,0
2016-01-06,1.12,0.0,0,0.2762,0.0,0.0,0.0,0.4143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7656,0.0,126.8594,0.0,111.605,0.0,159.69,0.0,118.29,0.0,97.23,0.0,98.0,3.0,149.17,0.0,126.7,0.0,109.69,1.3751,139.01,0.0,151.42,0.0,70.37,0.0,146.28,0.0,1.0806,0.0,84.59,0.0,1197.7,1.0,0
2016-01-07,0.43,0.0,0,0.0906,0.0,0.0,0.0,0.1358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.8203,0.0,127.1094,0.0,111.6,0.0,159.18,0.0,118.2,0.0,97.285,0.0,98.05,3.0,149.23,0.0,126.88,0.0,109.7,1.3555,138.18,0.0,150.88,0.0,69.73,0.0,146.16,0.0,1.0952,0.0,85.24,0.0,1200.65,1.0,0
2016-01-08,0.97,0.0,0,0.1973,0.0,0.0,0.0,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.8516,0.0,127.4062,0.0,111.62,0.0,159.66,0.0,118.59,0.0,97.22,0.0,98.0,3.0,149.33,0.0,126.43,0.0,109.62,1.3579,138.53,0.0,151.4,0.0,69.63,0.0,145.17,0.0,1.092,0.0,85.11,0.0,1198.05,1.0,0
2016-01-11,0.42,0.0,0,0.0602,0.0,0.0,0.0,0.0903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.8984,0.0,127.3594,0.0,111.615,0.0,159.35,0.0,118.55,0.0,97.25,0.0,98.03,3.0,149.33,0.0,126.8,0.0,109.74,1.3486,137.96,0.0,151.01,0.0,69.61,0.0,145.47,0.0,1.089,0.0,85.22,0.0,1209.7,1.0,0
2016-01-12,0.25,0.0,0,0.0061,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.9219,0.0,127.8281,0.0,111.605,0.0,159.39,0.0,118.67,0.0,97.215,0.0,98.01,3.0,149.38,0.0,126.7,0.0,109.72,1.3597,137.69,0.0,150.97,0.0,69.64,0.0,144.32,0.0,1.0872,0.0,85.13,0.0,1210.25,1.0,0
2016-01-13,0.97,0.0,0,0.1491,0.0,0.0,0.0,0.2236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.9531,0.0,128.0625,0.0,111.61,0.0,159.77,0.0,118.75,0.0,97.24,0.0,98.02,3.0,149.5,0.0,126.8,0.0,109.71,1.3634,138.17,0.0,151.31,0.0,69.39,0.0,144.45,0.0,1.0894,0.0,85.005,0.0,1203.9,1.0,0
2016-01-14,0.56,0.0,0,0.0837,0.0,0.0,0.0,0.1256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.9844,0.0,127.8281,0.0,111.6,0.0,159.71,0.0,118.9,0.0,97.32,0.0,98.08,3.0,149.38,0.0,126.66,0.0,109.64,1.4216,138.01,0.0,151.11,0.0,69.77,0.0,144.05,0.0,1.0878,0.0,84.725,0.0,1213.35,1.0,0
2016-01-15,1.22,0.0,0,0.2017,0.0,0.0,0.0,0.3026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0938,0.0,128.4531,0.0,111.645,0.0,160.39,0.0,119.64,0.0,97.31,0.0,98.08,3.0,149.53,0.0,126.8,0.0,109.64,1.4185,138.36,0.0,151.67,0.0,68.42,0.0,142.62,0.0,1.0924,0.0,85.55,0.0,1213.25,1.0,0
2016-01-18,1.31,0.0,0,0.1872,0.0,0.0,0.0,0.2807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0938,0.0,128.4531,0.0,111.64,0.0,160.38,0.0,119.31,0.0,97.31,0.0,98.11,3.0,149.67,0.0,126.63,0.0,109.65,1.4185,138.17,0.0,151.6,0.0,68.42,0.0,142.62,0.0,1.0924,0.0,85.55,0.0,1210.9,1.0,0
