Date,total_rates_cumpnl,total_fx_cumpnl,total_index_cumpnl,total_mom_cumpnl,total_mr_cumpnl,total_adv_cumpnl,mom_rates_cumpnl,mr_rates_cumpnl,adv_rates_cumpnl,mom_fx_cumpnl,mr_fx_cumpnl,adv_fx_cumpnl,TU1 Comdty_CumPnL,TY1 Comdty_CumPnL,DU1 Comdty_CumPnL,RX1 Comdty_CumPnL,G 1 Comdty_CumPnL,XM1 Comdty_CumPnL,YM1 Comdty_CumPnL,JB1 Comdty_CumPnL,GVSK10YR Index_CumPnL,GVSK3YR Index_CumPnL,IK1 Comdty_CumPnL,OAT1 Comdty_CumPnL,AD1 Curncy_CumPnL,BP1 Curncy_CumPnL,EC1 Curncy_CumPnL,JY1 Curncy_CumPnL,KRW Curncy_CumPnL,NQ1 Index_CumPnL,TU1 Comdty_Pos,TU1 Comdty_Price,TY1 Comdty_Pos,TY1 Comdty_Price,DU1 Comdty_Pos,DU1 Comdty_Price,RX1 Comdty_Pos,RX1 Comdty_Price,G 1 Comdty_Pos,G 1 Comdty_Price,XM1 Comdty_Pos,XM1 Comdty_Price,YM1 Comdty_Pos,YM1 Comdty_Price,JB1 Comdty_Pos,JB1 Comdty_Price,GVSK10YR Index_Pos,GVSK10YR Index_Price,GVSK3YR Index_Pos,GVSK3YR Index_Price,IK1 Comdty_Pos,IK1 Comdty_Price,OAT1 Comdty_Pos,OAT1 Comdty_Price,AD1 Curncy_Pos,AD1 Curncy_Price,BP1 Curncy_Pos,BP1 Curncy_Price,EC1 Curncy_Pos,EC1 Curncy_Price,JY1 Curncy_Pos,JY1 Curncy_Price,KRW Curncy_Pos,KRW Curncy_Price,NQ1 Index_Pos,NQ1 Index_Price,dd_scale,pnl_ma_off_count
2021-01-04,-0.1,0.32,0.11,-0.3172,-0.0184,0.6143,0.1417,-0.0225,-0.0339,0.0,0.0,0.3247,0.0,0.03,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.07,0.32,0.0,0.0,0.0,0.0,0.11,0.0,110.4922,1.0,138.125,0.0,112.315,-0.2706,178.12,0.0,135.6,0.0,98.97,0.0,99.825,0.0,151.88,0.0,1.732,0.0,0.955,1.0,152.03,-0.3605,168.2,-1.0,76.75,0.0,135.72,0.0,1.2271,0.0,97.05,0.0,1081.9,-0.0681,12685.5,1.0,0
2021-01-05,-0.25,-1.91,0.11,-0.3662,-0.0795,0.2413,0.0438,0.0038,0.1697,0.0,-0.454,-0.9978,0.0,-0.17,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.03,-1.0,-0.45,0.0,-0.46,0.0,0.11,0.0,110.4766,1.0,137.8438,0.0,112.315,-0.6699,177.9,0.0,135.33,0.0,99.005,0.0,99.83,0.0,152.03,0.0,1.695,0.0,0.937,1.0,151.92,-0.3605,168.01,-1.0,77.765,-1.0,136.33,0.0,1.2322,-1.0,97.495,0.0,1087.6,0.0,12793.5,1.0,0
2021-01-06,-0.26,-1.43,0.11,-0.4315,0.053,0.3191,-0.1052,0.0912,0.6344,0.0365,-0.1191,-1.2293,0.0,-0.63,0.0,0.31,-0.08,0.0,0.0,0.0,0.0,0.0,-0.06,0.2,-1.23,-0.25,0.04,0.01,0.0,0.11,0.0,110.4258,1.0,137.2031,0.0,112.285,-1.0,177.37,0.2878,134.96,0.0,98.92,0.0,99.82,0.0,151.93,0.0,1.732,0.0,0.96,0.0,151.91,-1.0,167.62,-1.0,77.945,-1.0,136.06,1.0,1.2326,-1.0,97.035,0.0,1085.7,0.0,12616.75,1.0,0
2021-01-07,-0.49,-0.43,0.11,-0.5157,0.0878,0.4559,-0.1052,0.0302,0.6344,-0.3002,0.3467,-0.8187,0.0,-0.82,0.0,0.31,-0.21,0.0,0.0,0.09,0.0,0.0,-0.06,0.2,-0.82,-0.03,-0.3,0.72,0.0,0.11,0.0,110.4453,1.0,136.9531,0.0,112.27,0.0,177.25,0.2878,134.35,0.0,98.9,0.0,99.81,-1.0,151.8,0.0,1.72,0.0,0.97,0.0,151.99,0.0,167.53,-1.0,77.625,-1.0,135.76,1.0,1.2285,-1.0,96.345,0.0,1087.0,0.0,12928.0,1.0,0
2021-01-08,-0.69,-0.73,0.11,-0.6225,0.0706,0.4967,-0.1052,0.0093,0.6344,-0.7275,0.3467,-0.6963,0.0,-1.03,0.0,0.31,-0.2,0.0,0.0,0.1,0.0,0.0,-0.06,0.2,-0.7,-0.03,-0.73,0.72,0.0,0.11,0.0,110.4453,1.0,136.6562,0.0,112.275,0.0,177.3,0.2878,134.37,0.0,98.86,0.0,99.805,-1.0,151.78,0.0,1.72,0.0,0.977,0.0,152.34,0.0,167.58,-1.0,77.53,0.0,135.68,1.0,1.2232,0.0,96.3,0.0,1089.7,0.0,13097.25,1.0,0
2021-01-11,-1.24,-0.61,0.21,-1.1994,0.0428,1.1913,-0.2759,-0.0247,0.6344,-1.1649,0.3467,-0.1417,0.0,-1.2,0.0,0.31,-0.24,0.0,0.0,0.1,0.0,0.0,-0.4,0.2,-0.14,-0.03,-1.16,0.72,0.0,0.21,0.0,110.4336,1.0,136.4219,0.0,112.265,0.0,176.93,0.2878,134.19,0.0,98.88,0.0,99.81,-1.0,151.78,0.0,1.685,0.0,0.965,1.0,151.82,0.0,167.22,-1.0,77.1,0.0,135.32,1.0,1.2179,0.0,96.07,0.0,1097.2,-0.0681,12897.0,1.0,0
2021-01-12,-1.43,-0.61,0.21,-1.2125,0.0021,1.2087,-0.2759,-0.0745,0.6344,-1.1649,0.3467,-0.1417,0.0,-1.23,0.0,0.31,-0.35,0.0,0.0,0.05,0.0,0.0,-0.4,0.2,-0.14,-0.03,-1.16,0.72,0.0,0.21,0.0,110.4258,1.0,136.3906,0.0,112.245,0.0,176.44,0.2878,133.69,0.0,98.84,0.0,99.805,-1.0,151.86,0.0,1.717,0.0,0.977,0.0,150.55,0.0,166.66,0.0,77.735,0.0,136.69,0.0,1.2217,0.0,96.38,0.0,1099.95,-0.0681,12890.25,1.0,0
2021-01-13,-1.06,-0.25,0.21,-1.2125,0.0601,1.3309,-0.2759,-0.0036,0.6344,-1.1649,0.3467,0.2249,0.0,-0.95,0.0,0.31,-0.24,0.0,0.0,0.02,0.0,0.0,-0.4,0.2,0.22,-0.03,-1.16,0.72,0.0,0.21,0.0,110.4258,1.0,136.7656,0.0,112.265,0.0,177.36,0.2878,134.21,0.0,98.88,0.0,99.805,-1.0,151.9,0.0,1.717,0.0,0.975,0.0,151.65,0.0,167.53,-1.0,77.45,0.0,136.35,0.0,1.217,0.0,96.33,0.0,1095.25,0.0,12972.25,1.0,0
2021-01-14,-0.61,-0.8,-0.04,-1.3498,0.1352,1.148,-0.2759,0.0882,0.6344,-1.1649,0.3467,-0.3238,0.0,-1.1,0.0,0.54,-0.07,0.0,0.0,0.06,0.0,0.0,-0.4,0.36,-0.32,-0.03,-1.16,0.72,0.0,-0.04,0.0,110.4297,1.0,136.5625,0.0,112.32,0.8713,177.84,1.0,134.44,0.0,98.89,0.0,99.81,-1.0,151.84,0.0,1.732,0.0,0.987,0.0,150.91,1.0,167.8,-1.0,77.875,0.0,136.87,0.0,1.217,0.0,96.41,0.0,1098.05,0.466,12901.0,1.0,0
2021-01-15,-0.51,0.17,-0.04,-1.3751,0.1374,1.3987,-0.3265,0.0909,0.417,-1.1649,0.3467,0.6457,0.0,-0.88,0.0,0.52,-0.07,0.0,0.0,0.05,0.0,0.0,-0.4,0.27,0.65,-0.03,-1.16,0.72,0.0,-0.04,0.0,110.4492,1.0,136.8594,0.0,112.305,0.2013,177.66,0.2878,134.43,0.0,98.905,0.0,99.82,-1.0,151.85,0.0,1.73,0.0,0.97,0.0,151.34,1.0,167.65,-1.0,77.12,0.0,135.85,0.0,1.2092,0.0,96.335,0.0,1099.45,0.0,12802.25,1.0,0
