Date,total_rates_cumpnl,total_fx_cumpnl,total_index_cumpnl,USGG10YR Index_CumPnL,USGG2YR Index_CumPnL,GDBR10 Index_CumPnL,GDBR2 Index_CumPnL,GUKG10 Index_CumPnL,GTAUD10YR Corp_CumPnL,GTAUD3YR Corp_CumPnL,GJGB10 Index_CumPnL,GVSK10YR Index_CumPnL,GVSK3YR Index_CumPnL,GBTPGR10 Index_CumPnL,GFRN10 Index_CumPnL,AUD Curncy_CumPnL,EUR Curncy_CumPnL,GBP Curncy_CumPnL,JPY Curncy_CumPnL,KRW Curncy_CumPnL,NQ1 Index_CumPnL,USGG10YR Index_Pos,USGG10YR Index_Price,USGG2YR Index_Pos,USGG2YR Index_Price,GDBR10 Index_Pos,GDBR10 Index_Price,GDBR2 Index_Pos,GDBR2 Index_Price,GUKG10 Index_Pos,GUKG10 Index_Price,GTAUD10YR Corp_Pos,GTAUD10YR Corp_Price,GTAUD3YR Corp_Pos,GTAUD3YR Corp_Price,GJGB10 Index_Pos,GJGB10 Index_Price,GVSK10YR Index_Pos,GVSK10YR Index_Price,GVSK3YR Index_Pos,GVSK3YR Index_Price,GBTPGR10 Index_Pos,GBTPGR10 Index_Price,GFRN10 Index_Pos,GFRN10 Index_Price,AUD Curncy_Pos,AUD Curncy_Price,EUR Curncy_Pos,EUR Curncy_Price,GBP Curncy_Pos,GBP Curncy_Price,JPY Curncy_Pos,JPY Curncy_Price,KRW Curncy_Pos,KRW Curncy_Price,NQ1 Index_Pos,NQ1 Index_Price
2026-02-02,-3.4,0.38,0.7,0.0,0.0,-2.5,0.0,0.0,0.0,-2.2,0.0,0.0,1.3,0.0,0.0,0.23,0.0,0.15,0.0,0.0,0.7,0,4.2774,0,3.5716,-1,2.868,0,2.114,0,4.506,0,4.798,1,4.244,0,2.244,0,3.605,1,3.155,0,3.482,0,3.45,-1,0.6948,0,1.1791,-1,1.3666,0,155.63,0,1451.85,1,25850.0
2026-02-03,5.3,-0.9,-0.84,0.0,0.0,-4.8,0.0,1.1,0.0,4.2,0.0,0.0,4.8,0.0,0.0,-0.82,0.0,-0.08,0.0,0.0,-0.84,0,4.2655,0,3.5696,-1,2.891,0,2.123,1,4.517,0,4.834,1,4.308,0,2.265,0,3.662,1,3.19,0,3.498,0,3.467,-1,0.7021,0,1.1819,-1,1.3697,0,155.75,0,1447.45,1,25452.0
2026-02-04,18.5,-0.26,-0.84,0.0,0.0,-1.6,0.0,4.0,0.0,8.1,0.0,0.0,8.0,0.0,0.0,-0.49,0.0,0.23,0.0,0.0,-0.84,0,4.2735,0,3.5532,-1,2.859,0,2.094,1,4.546,0,4.866,1,4.347,0,2.256,0,3.72,1,3.222,0,3.47,0,3.447,-1,0.6998,0,1.1807,-1,1.3654,0,156.86,0,1459.3,0,24999.25
2026-02-05,17.3,1.66,-0.84,0.0,0.0,0.0,0.0,5.3,0.0,7.2,-1.5,0.0,6.3,0.0,0.0,0.52,0.0,1.13,0.0,0.0,-0.84,0,4.1801,0,3.4504,-1,2.843,0,2.095,1,4.559,0,4.857,1,4.338,1,2.241,0,3.692,1,3.205,0,3.469,0,3.447,-1,0.6927,0,1.1777,-1,1.3531,0,157.04,0,1463.6,0,24651.0
2026-02-06,17.9,0.41,-0.84,0.0,0.0,0.0,0.9,5.3,0.0,3.3,-1.5,0.0,9.9,0.0,0.0,-0.72,0.0,1.13,0.0,0.0,-0.84,0,4.206,0,3.4976,0,2.842,-1,2.086,0,4.514,0,4.826,1,4.299,0,2.231,0,3.717,1,3.241,0,3.466,0,3.447,-1,0.7013,0,1.1815,0,1.3611,0,157.22,0,1463.65,0,25163.25
2026-02-09,24.9,-0.73,-0.84,0.0,0.0,0.0,1.7,5.3,0.0,6.7,-1.5,0.0,12.7,0.0,0.0,-1.86,0.0,1.13,0.0,0.0,-0.84,0,4.2021,0,3.4851,0,2.84,-1,2.078,0,4.527,0,4.866,1,4.333,0,2.29,0,3.761,1,3.269,0,3.451,0,3.443,-1,0.7093,0,1.1914,0,1.3693,0,155.88,0,1458.3,0,25354.0
2026-02-10,18.2,-0.47,-0.84,0.0,0.0,0.0,2.6,5.3,0.0,3.8,-1.5,0.0,8.0,0.0,0.0,-1.61,0.0,1.13,0.0,0.0,-0.84,0,4.1427,0,3.452,0,2.808,-1,2.069,0,4.506,0,4.828,1,4.304,0,2.242,0,3.681,1,3.222,0,3.413,0,3.406,-1,0.7075,0,1.1895,0,1.3643,0,154.39,0,1457.65,0,25218.25
2026-02-11,19.27,-1.21,-0.84,2.97,0.0,0.0,2.9,5.3,0.0,3.8,-1.5,0.0,5.8,0.0,0.0,-2.34,0.0,1.13,0.0,0.0,-0.84,1,4.1724,0,3.5099,0,2.792,-1,2.066,0,4.476,0,4.757,0,4.266,0,2.242,0,3.635,1,3.2,0,3.397,0,3.38,-1,0.7127,0,1.1872,0,1.3628,0,153.26,0,1447.0,0,25288.5
2026-02-12,7.44,-0.69,-0.84,-4.46,0.0,0.0,3.5,5.3,0.0,3.8,-1.5,0.0,0.8,0.0,0.0,-1.82,0.0,1.13,0.0,0.0,-0.84,1,4.0981,0,3.4559,0,2.779,-1,2.06,0,4.452,0,4.807,0,4.315,0,2.242,0,3.615,1,3.15,0,3.384,0,3.365,-1,0.709,0,1.1871,0,1.3622,0,152.74,0,1439.1,0,24768.0
2026-02-13,3.86,-0.45,-0.84,-9.44,0.0,0.0,5.9,5.3,0.0,3.8,-1.5,0.0,-0.2,0.0,0.0,-1.58,0.0,1.13,0.0,0.0,-0.84,1,4.0483,0,3.4076,0,2.755,-1,2.036,0,4.416,0,4.748,0,4.268,0,2.226,0,3.565,1,3.14,0,3.364,0,3.341,-1,0.7073,0,1.1868,0,1.3651,0,152.7,0,1444.1,0,24803.25
